"Meet Date","Meet Name","Meet Type","Sanction Number","Meet Location","Website","Unique Identification"
2015-09-25,"Arnold Classic Europe","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1255","2015-09-25-Arnold Classic Europe"
2015-09-16,"NAPF Pan American & South American Championships Classic","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1029","2015-09-16-NAPF Pan American & South American Championships Classic"
2015-08-31,"2015 IPF SubJr/Junior Worlds - Prague/ Czech Republic","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=882","2015-08-31-2015 IPF SubJr/Junior Worlds - Prague/ Czech Republic"
2015-08-29,"2015 Great Lakes Sports Festival USAPL Pro Raw Deadlift","IPF","USAPL-2015-02","Pennsylvania","https://usapl.liftingdatabase.com/competitions-view?id=873","2015-08-29-2015 Great Lakes Sports Festival USAPL Pro Raw Deadlift"
2015-07-07,"13th Annual IPF/NAPF North American Regional Powerlifting Championships","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1473","2015-07-07-13th Annual IPF/NAPF North American Regional Powerlifting Championships"
2015-06-05,"2015 IPF Classic (Raw) Worlds","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=858","2015-06-05-2015 IPF Classic (Raw) Worlds"
2015-05-20,"IPF Bench Worlds - Open SubJr Junior","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=851","2015-05-20-IPF Bench Worlds - Open SubJr Junior"
2015-04-16,"IPF Master Benchpress Worlds","IPF",NA,"Colorado","https://usapl.liftingdatabase.com/competitions-view?id=832","2015-04-16-IPF Master Benchpress Worlds"
2015-03-06,"2015 Arnold - Pro American","IPF","USAPL-2015-01","Nationals","https://usapl.liftingdatabase.com/competitions-view?id=846","2015-03-06-2015 Arnold - Pro American"
2015-03-06,"2015 Arnold - Pro Raw Challenge","IPF","USAPL-2015-01","Nationals","https://usapl.liftingdatabase.com/competitions-view?id=847","2015-03-06-2015 Arnold - Pro Raw Challenge"
2015-03-06,"2015 Arnold - Pro Raw Bench","IPF","USAPL-2015-01","Nationals","https://usapl.liftingdatabase.com/competitions-view?id=848","2015-03-06-2015 Arnold - Pro Raw Bench"
2014-11-03,"IPF Open Worlds - Aurora - USA","IPF",NA,"Colorado","https://usapl.liftingdatabase.com/competitions-view?id=734","2014-11-03-IPF Open Worlds - Aurora - USA"
2014-09-21,"2014 IPF World Masters - Pilsen/ Czech Republic","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=732","2014-09-21-2014 IPF World Masters - Pilsen/ Czech Republic"
2012-11-05,"IPF Mens Worlds","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=600","2012-11-05-IPF Mens Worlds"
2012-11-05,"IPF WOMENS WORLDS","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=640","2012-11-05-IPF WOMENS WORLDS"
2012-01-01,"World Raw Cup","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=645","2012-01-01-World Raw Cup"
2024-01-14,"Cajun Prep Open","Local","LA-2024-01","Louisiana","https://usapl.liftingdatabase.com/competitions-view?id=121001","2024-01-14-Cajun Prep Open"
2024-01-13,"Uncle Sam's Winter Classic","Local","SC-2024-04","South Carolina","https://usapl.liftingdatabase.com/competitions-view?id=120997","2024-01-13-Uncle Sam's Winter Classic"
2024-01-13,"New Years ReSWOLLution","Local","IN-2024-02","Indiana","https://usapl.liftingdatabase.com/competitions-view?id=120998","2024-01-13-New Years ReSWOLLution"
2024-01-13,"Lions Den Open","Local","NC-2024-07","North Carolina","https://usapl.liftingdatabase.com/competitions-view?id=120999","2024-01-13-Lions Den Open"
2024-01-13,"New Year Open","Local","OH-2024-01","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=121003","2024-01-13-New Year Open"
2024-01-06,"TruBorn Rookie Rumble","Local","GA-2024-01","Georgia","https://usapl.liftingdatabase.com/competitions-view?id=120989","2024-01-06-TruBorn Rookie Rumble"
2024-01-06,"Odyssey Barbell Winter Open","Local","NH-2024-02","New Hampshire","https://usapl.liftingdatabase.com/competitions-view?id=120991","2024-01-06-Odyssey Barbell Winter Open"
2024-01-06,"Virginia Capitol City Classic","Local","VA-2024-09","Virginia","https://usapl.liftingdatabase.com/competitions-view?id=120992","2024-01-06-Virginia Capitol City Classic"
2024-01-06,"AAO New Years Bash","Local","CA-2024-03","California","https://usapl.liftingdatabase.com/competitions-view?id=120993","2024-01-06-AAO New Years Bash"
2024-01-06,"TSS ROOKIE RIOT","Local","TX-2024-10","Texas","https://usapl.liftingdatabase.com/competitions-view?id=120995","2024-01-06-TSS ROOKIE RIOT"
2024-01-01,"Eastern China New Year Classic","Local","CHN-2024-02","China","https://usapl.liftingdatabase.com/competitions-view?id=120984","2024-01-01-Eastern China New Year Classic"
2023-12-17,"Adelante Winter Heat","Local","NJ-2023-10","New Jersey","https://usapl.liftingdatabase.com/competitions-view?id=120966","2023-12-17-Adelante Winter Heat"
2023-12-17,"Paragon Open IV","Local","AUS-2023-32","Australia","https://usapl.liftingdatabase.com/competitions-view?id=120976","2023-12-17-Paragon Open IV"
2023-12-16,"Electric City Open","Local","SC-2023-10","South Carolina","https://usapl.liftingdatabase.com/competitions-view?id=120954","2023-12-16-Electric City Open"
2023-12-16,"Intrepid Classic","Local","NY-2023-26","New York","https://usapl.liftingdatabase.com/competitions-view?id=120955","2023-12-16-Intrepid Classic"
2023-12-16,"Strong Hawk Invitational","Local","LA-2023-11","Louisiana","https://usapl.liftingdatabase.com/competitions-view?id=120957","2023-12-16-Strong Hawk Invitational"
2023-12-16,"Christmas Miracle","Local","MS-2023-02","Mississippi","https://usapl.liftingdatabase.com/competitions-view?id=120961","2023-12-16-Christmas Miracle"
2023-12-16,"Winter Classic","Local","CHN-2023-04","China","https://usapl.liftingdatabase.com/competitions-view?id=120963","2023-12-16-Winter Classic"
2023-12-16,"Holiday Hoist","Local","ID-2023-03","Idaho","https://usapl.liftingdatabase.com/competitions-view?id=120964","2023-12-16-Holiday Hoist"
2023-12-16,"South Florida Showdown","Local","FL-2023-15","Florida","https://usapl.liftingdatabase.com/competitions-view?id=120968","2023-12-16-South Florida Showdown"
2023-12-16,"ANYONE CAN LIFT","Local","KOR-2023-07","South Korea","https://usapl.liftingdatabase.com/competitions-view?id=120969","2023-12-16-ANYONE CAN LIFT"
2023-12-16,"Lifelong Classic","Local","KS-2023-06","Kansas","https://usapl.liftingdatabase.com/competitions-view?id=120971","2023-12-16-Lifelong Classic"
2023-12-16,"Cougar Classic","Local","TX-2023-39","Texas","https://usapl.liftingdatabase.com/competitions-view?id=120972","2023-12-16-Cougar Classic"
2023-12-16,"Klash at Kingdom","Local","TX-2023-30","Texas","https://usapl.liftingdatabase.com/competitions-view?id=120975","2023-12-16-Klash at Kingdom"
2023-12-16,"Bay Area Barbell Winter Swolestice II","Local","CA-2023-31","California","https://usapl.liftingdatabase.com/competitions-view?id=120977","2023-12-16-Bay Area Barbell Winter Swolestice II"
2023-12-16,"Team GPT Invitational","Local","CT-2023-09","Connecticut","https://usapl.liftingdatabase.com/competitions-view?id=120983","2023-12-16-Team GPT Invitational"
2023-12-09,"Michigan Rookie Rumble","Local","MI-2023-12","Michigan","https://usapl.liftingdatabase.com/competitions-view?id=120939","2023-12-09-Michigan Rookie Rumble"
2023-12-09,"Liftmas Open","Local","WI-2023-11","Wisconsin","https://usapl.liftingdatabase.com/competitions-view?id=120940","2023-12-09-Liftmas Open"
2023-12-09,"Heavy Liftmas","Local","WY-2023-07","Wyoming","https://usapl.liftingdatabase.com/competitions-view?id=120941","2023-12-09-Heavy Liftmas"
2023-12-09,"STS Winter Wars","Local","CA-2023-33","California","https://usapl.liftingdatabase.com/competitions-view?id=120943","2023-12-09-STS Winter Wars"
2023-12-09,"Teen and Collegiate Open","Local","WI-2023-20","Wisconsin","https://usapl.liftingdatabase.com/competitions-view?id=120944","2023-12-09-Teen and Collegiate Open"
2023-12-09,"Alpha Omega Christmas Classic","Local","OH-2023-17","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=120948","2023-12-09-Alpha Omega Christmas Classic"
2023-12-09,"Warrior Collegiate Open","Local","NE-2023-09","Nebraska","https://usapl.liftingdatabase.com/competitions-view?id=120949","2023-12-09-Warrior Collegiate Open"
2023-12-09,"Clash at the Colosseum","Local","MA-2023-14","Massachusetts","https://usapl.liftingdatabase.com/competitions-view?id=120951","2023-12-09-Clash at the Colosseum"
2023-12-09,"Carrie Boudreau Big Pullooza","Local","ME-2023-05","Maine","https://usapl.liftingdatabase.com/competitions-view?id=120953","2023-12-09-Carrie Boudreau Big Pullooza"
2023-12-09,"TSF Open 2023","Local","AUS-2023-20","Australia","https://usapl.liftingdatabase.com/competitions-view?id=120958","2023-12-09-TSF Open 2023"
2023-12-09,"Philadelphia Winter War","Local","PA-2023-10","Pennsylvania","https://usapl.liftingdatabase.com/competitions-view?id=120960","2023-12-09-Philadelphia Winter War"
2023-12-09,"Solstice Showdown","Local","NV-2023-06","Nevada","https://usapl.liftingdatabase.com/competitions-view?id=120967","2023-12-09-Solstice Showdown"
2023-12-09,"Kilo Showdown II","Local","TX-2023-49","Texas","https://usapl.liftingdatabase.com/competitions-view?id=120974","2023-12-09-Kilo Showdown II"
2023-12-03,"Virginia Winter Wrecker","Local","VA-2023-17","Virginia","https://usapl.liftingdatabase.com/competitions-view?id=120930","2023-12-03-Virginia Winter Wrecker"
2023-12-02,"Dig Deep Rookie/Novice Showcase","Local","NY-2023-18","New York","https://usapl.liftingdatabase.com/competitions-view?id=120927","2023-12-02-Dig Deep Rookie/Novice Showcase"
2023-12-02,"Holiday Havoc","Local","GA-2023-14","Georgia","https://usapl.liftingdatabase.com/competitions-view?id=120928","2023-12-02-Holiday Havoc"
2023-12-02,"Philadelphia Love Championship","Local","PA-2023-28","Pennsylvania","https://usapl.liftingdatabase.com/competitions-view?id=120929","2023-12-02-Philadelphia Love Championship"
2023-12-02,"Ataraxis Open II","Local","NY-2023-29","New York","https://usapl.liftingdatabase.com/competitions-view?id=120931","2023-12-02-Ataraxis Open II"
2023-12-02,"Krampus is Coming to Town V2","Local","CO-2023-10","Colorado","https://usapl.liftingdatabase.com/competitions-view?id=120934","2023-12-02-Krampus is Coming to Town V2"
2023-12-02,"21st Annual Team Phoenix Holiday Classic","Local","WA-2023-08","Washington","https://usapl.liftingdatabase.com/competitions-view?id=120937","2023-12-02-21st Annual Team Phoenix Holiday Classic"
2023-12-02,"Collegiate Cup","Local","TX-2023-28","Texas","https://usapl.liftingdatabase.com/competitions-view?id=120942","2023-12-02-Collegiate Cup"
2023-12-02,"Barbell Brigade Winter Finale","Local","CA-2023-37","California","https://usapl.liftingdatabase.com/competitions-view?id=120978","2023-12-02-Barbell Brigade Winter Finale"
2023-11-25,"Avia Performance Open II","Local","AUS-2023-24","Australia","https://usapl.liftingdatabase.com/competitions-view?id=120917","2023-11-25-Avia Performance Open II"
2023-11-25,"EuroTour Round 1 - The Inauguration","Local","ENG-2023-02","England","https://usapl.liftingdatabase.com/competitions-view?id=120920","2023-11-25-EuroTour Round 1 - The Inauguration"
2023-11-25,"Hobart Championships","Local","AUS-2023-19","Australia","https://usapl.liftingdatabase.com/competitions-view?id=120921","2023-11-25-Hobart Championships"
2023-11-25,"South Coast Championships","Local","AUS-2023-31","Australia","https://usapl.liftingdatabase.com/competitions-view?id=120970","2023-11-25-South Coast Championships"
2023-11-25,"Winter Mania","Local","HGK-2023-04","Hong Kong","https://usapl.liftingdatabase.com/competitions-view?id=120985","2023-11-25-Winter Mania"
2023-11-19,"Underground Showdown","Local","CA-2023-32","California","https://usapl.liftingdatabase.com/competitions-view?id=120918","2023-11-19-Underground Showdown"
2023-11-19,"Virginia Commonwealth Cup","Local","VA-2023-18","Virginia","https://usapl.liftingdatabase.com/competitions-view?id=120919","2023-11-19-Virginia Commonwealth Cup"
2023-11-18,"Winter Classic","Local","UT-2023-02","Utah","https://usapl.liftingdatabase.com/competitions-view?id=120891","2023-11-18-Winter Classic"
2023-11-18,"Casper Chill","Local","WY-2023-06","Wyoming","https://usapl.liftingdatabase.com/competitions-view?id=120892","2023-11-18-Casper Chill"
2023-11-18,"Surge Classic","Local","IL-2023-11","Illinois","https://usapl.liftingdatabase.com/competitions-view?id=120894","2023-11-18-Surge Classic"
2023-11-18,"Crossroads Collegiate Showdown","Local","IN-2023-04","Indiana","https://usapl.liftingdatabase.com/competitions-view?id=120896","2023-11-18-Crossroads Collegiate Showdown"
2023-11-18,"Whiz Wit Classic","Local","PA-2023-27","Pennsylvania","https://usapl.liftingdatabase.com/competitions-view?id=120897","2023-11-18-Whiz Wit Classic"
2023-11-18,"Beginner's Brawl","Local","OH-2023-16","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=120900","2023-11-18-Beginner's Brawl"
2023-11-18,"Sioux Empire Open","Local","SD-2023-04","South Dakota","https://usapl.liftingdatabase.com/competitions-view?id=120908","2023-11-18-Sioux Empire Open"
2023-11-18,"Paradigm Strength Classic","Local","TX-2023-42","Texas","https://usapl.liftingdatabase.com/competitions-view?id=120912","2023-11-18-Paradigm Strength Classic"
2023-11-18,"Central Collegiate Regionals","Local","NE-2023-08","Nebraska","https://usapl.liftingdatabase.com/competitions-view?id=120913","2023-11-18-Central Collegiate Regionals"
2023-11-18,"Sincere Training Systems Classic II","Local","NY-2023-21","New York","https://usapl.liftingdatabase.com/competitions-view?id=120914","2023-11-18-Sincere Training Systems Classic II"
2023-11-18,"Brewhouse Brawl","Local","OK-2023-04","Oklahoma","https://usapl.liftingdatabase.com/competitions-view?id=120915","2023-11-18-Brewhouse Brawl"
2023-11-18,"Strength Culture Cup #3","Local","AUS-2023-28","Australia","https://usapl.liftingdatabase.com/competitions-view?id=120916","2023-11-18-Strength Culture Cup #3"
2023-11-18,"Lokahi Open","Local","HI-2023-06","Hawaii","https://usapl.liftingdatabase.com/competitions-view?id=120923","2023-11-18-Lokahi Open"
2023-11-12,"New Jersey Iron Gobbler Championship","Local","NJ-2023-08","New Jersey","https://usapl.liftingdatabase.com/competitions-view?id=120890","2023-11-12-New Jersey Iron Gobbler Championship"
2023-11-12,"Collegiate Invite","Local","MO-2023-10","Missouri","https://usapl.liftingdatabase.com/competitions-view?id=120952","2023-11-12-Collegiate Invite"
2023-11-11,"Maine Event: Harvest Moon Classic","Local","ME-2023-06","Maine","https://usapl.liftingdatabase.com/competitions-view?id=120869","2023-11-11-Maine Event: Harvest Moon Classic"
2023-11-11,"Ohio Open","Local","OH-2023-12","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=120872","2023-11-11-Ohio Open"
2023-11-11,"Fall Festival of Power","Local","NC-2023-05","North Carolina","https://usapl.liftingdatabase.com/competitions-view?id=120873","2023-11-11-Fall Festival of Power"
2023-11-11,"Georgia Collegiate Championship","Local","GA-2023-16","Georgia","https://usapl.liftingdatabase.com/competitions-view?id=120874","2023-11-11-Georgia Collegiate Championship"
2023-11-11,"Brawl in the Falls","Local","TX-2023-35","Texas","https://usapl.liftingdatabase.com/competitions-view?id=120876","2023-11-11-Brawl in the Falls"
2023-11-11,"Strong Island Open","Local","NY-2023-13","New York","https://usapl.liftingdatabase.com/competitions-view?id=120877","2023-11-11-Strong Island Open"
2023-11-11,"Ivy League Cup","Local","NY-2023-28","New York","https://usapl.liftingdatabase.com/competitions-view?id=120879","2023-11-11-Ivy League Cup"
2023-11-11,"Southeast Open","Local","SC-2023-07","South Carolina","https://usapl.liftingdatabase.com/competitions-view?id=120881","2023-11-11-Southeast Open"
2023-11-11,"Piney Woods Open","Local","TX-2023-47","Texas","https://usapl.liftingdatabase.com/competitions-view?id=120883","2023-11-11-Piney Woods Open"
2023-11-11,"Western Collegiate Cup","Local","CA-2023-25","California","https://usapl.liftingdatabase.com/competitions-view?id=120884","2023-11-11-Western Collegiate Cup"
2023-11-11,"Tennessee State Classic","Local","TN-2023-04","Tennessee","https://usapl.liftingdatabase.com/competitions-view?id=120885","2023-11-11-Tennessee State Classic"
2023-11-11,"Thanksgiving Throwdown","Local","CA-2023-35","California","https://usapl.liftingdatabase.com/competitions-view?id=120886","2023-11-11-Thanksgiving Throwdown"
2023-11-11,"Philadelphia Far Beyond Driven","Local","PA-2023-04","Pennsylvania","https://usapl.liftingdatabase.com/competitions-view?id=120887","2023-11-11-Philadelphia Far Beyond Driven"
2023-11-11,"South Omaha Stock Yard Classic","Local","NE-2023-06","Nebraska","https://usapl.liftingdatabase.com/competitions-view?id=120902","2023-11-11-South Omaha Stock Yard Classic"
2023-11-11,"West Houston Open","Local","TX-2023-50","Texas","https://usapl.liftingdatabase.com/competitions-view?id=120906","2023-11-11-West Houston Open"
2023-11-11,"Strong Enough","Local","MI-2023-13","Michigan","https://usapl.liftingdatabase.com/competitions-view?id=120980","2023-11-11-Strong Enough"
2023-11-05,"Ghost Fall Fest","Local","FL-2023-18","Florida","https://usapl.liftingdatabase.com/competitions-view?id=120857","2023-11-05-Ghost Fall Fest"
2023-11-04,"Winter Wrath","Local","OH-2023-18","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=120851","2023-11-04-Winter Wrath"
2023-11-04,"5th Annual Winter War of Waco","Local","TX-2023-23","Texas","https://usapl.liftingdatabase.com/competitions-view?id=120852","2023-11-04-5th Annual Winter War of Waco"
2023-11-04,"Gainsgiving Open","Local","WI-2023-06","Wisconsin","https://usapl.liftingdatabase.com/competitions-view?id=120855","2023-11-04-Gainsgiving Open"
2023-11-04,"South Georgia Barbell Brawl","Local","GA-2023-13","Georgia","https://usapl.liftingdatabase.com/competitions-view?id=120860","2023-11-04-South Georgia Barbell Brawl"
2023-11-04,"Kansas Fall Brawl","Local","KS-2023-05","Kansas","https://usapl.liftingdatabase.com/competitions-view?id=120863","2023-11-04-Kansas Fall Brawl"
2023-11-04,"Squats & Science Fall Brawl","Local","NY-2023-30","New York","https://usapl.liftingdatabase.com/competitions-view?id=120865","2023-11-04-Squats & Science Fall Brawl"
2023-11-04,"Fall Brawl 2023","Local","CO-2023-09","Colorado","https://usapl.liftingdatabase.com/competitions-view?id=120866","2023-11-04-Fall Brawl 2023"
2023-11-04,"Yokozuna","Local","CA-2023-36","California","https://usapl.liftingdatabase.com/competitions-view?id=120893","2023-11-04-Yokozuna"
