Date,Name,Meet Type,Sanction Number,State,Website
12/09/2023,Warrior Collegiate Open,Local,NE-2023-09,Nebraska,https://usapl.liftingdatabase.com/competitions-view?id=120949
12/09/2023,Clash at the Colosseum,Local,MA-2023-14,Massachusetts,https://usapl.liftingdatabase.com/competitions-view?id=120951
12/09/2023,Carrie Boudreau Big Pullooza,Local,ME-2023-05,Maine,https://usapl.liftingdatabase.com/competitions-view?id=120953
12/09/2023,TSF Open 2023,Local,AUS-2023-20,Australia,https://usapl.liftingdatabase.com/competitions-view?id=120958
12/09/2023,Philadelphia Winter War,Local,PA-2023-10,Pennsylvania,https://usapl.liftingdatabase.com/competitions-view?id=120960
12/09/2023,Solstice Showdown,Local,NV-2023-06,Nevada,https://usapl.liftingdatabase.com/competitions-view?id=120967
12/09/2023,Kilo Showdown II,Local,TX-2023-49,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120974
12/03/2023,Virginia Winter Wrecker,Local,VA-2023-17,Virginia,https://usapl.liftingdatabase.com/competitions-view?id=120930
12/02/2023,Dig Deep Rookie/Novice Showcase,Local,NY-2023-18,New York,https://usapl.liftingdatabase.com/competitions-view?id=120927
12/02/2023,Holiday Havoc,Local,GA-2023-14,Georgia,https://usapl.liftingdatabase.com/competitions-view?id=120928
12/02/2023,Philadelphia Love Championship,Local,PA-2023-28,Pennsylvania,https://usapl.liftingdatabase.com/competitions-view?id=120929
12/02/2023,Ataraxis Open II,Local,NY-2023-29,New York,https://usapl.liftingdatabase.com/competitions-view?id=120931
12/02/2023,Krampus is Coming to Town V2,Local,CO-2023-10,Colorado,https://usapl.liftingdatabase.com/competitions-view?id=120934
12/02/2023,21st Annual Team Phoenix Holiday Classic,Local,WA-2023-08,Washington,https://usapl.liftingdatabase.com/competitions-view?id=120937
12/02/2023,Collegiate Cup,Local,TX-2023-28,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120942
12/02/2023,Barbell Brigade Winter Finale,Local,CA-2023-37,California,https://usapl.liftingdatabase.com/competitions-view?id=120978
11/25/2023,Avia Performance Open II,Local,AUS-2023-24,Australia,https://usapl.liftingdatabase.com/competitions-view?id=120917
11/25/2023,EuroTour Round 1 - The Inauguration,Local,ENG-2023-02,England,https://usapl.liftingdatabase.com/competitions-view?id=120920
11/25/2023,Hobart Championships,Local,AUS-2023-19,Australia,https://usapl.liftingdatabase.com/competitions-view?id=120921
11/25/2023,South Coast Championships,Local,AUS-2023-31,Australia,https://usapl.liftingdatabase.com/competitions-view?id=120970
11/25/2023,Winter Mania,Local,HGK-2023-04,Hong Kong,https://usapl.liftingdatabase.com/competitions-view?id=120985
11/19/2023,Underground Showdown,Local,CA-2023-32,California,https://usapl.liftingdatabase.com/competitions-view?id=120918
11/19/2023,Virginia Commonwealth Cup,Local,VA-2023-18,Virginia,https://usapl.liftingdatabase.com/competitions-view?id=120919
11/18/2023,Winter Classic,Local,UT-2023-02,Utah,https://usapl.liftingdatabase.com/competitions-view?id=120891
11/18/2023,Casper Chill,Local,WY-2023-06,Wyoming,https://usapl.liftingdatabase.com/competitions-view?id=120892
11/18/2023,Surge Classic,Local,IL-2023-11,Illinois,https://usapl.liftingdatabase.com/competitions-view?id=120894
11/18/2023,Crossroads Collegiate Showdown,Local,IN-2023-04,Indiana,https://usapl.liftingdatabase.com/competitions-view?id=120896
11/18/2023,Whiz Wit Classic,Local,PA-2023-27,Pennsylvania,https://usapl.liftingdatabase.com/competitions-view?id=120897
11/18/2023,Beginner's Brawl,Local,OH-2023-16,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=120900
11/18/2023,Sioux Empire Open,Local,SD-2023-04,South Dakota,https://usapl.liftingdatabase.com/competitions-view?id=120908
11/18/2023,Paradigm Strength Classic,Local,TX-2023-42,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120912
11/18/2023,Central Collegiate Regionals,Local,NE-2023-08,Nebraska,https://usapl.liftingdatabase.com/competitions-view?id=120913
11/18/2023,Sincere Training Systems Classic II,Local,NY-2023-21,New York,https://usapl.liftingdatabase.com/competitions-view?id=120914
11/18/2023,Brewhouse Brawl,Local,OK-2023-04,Oklahoma,https://usapl.liftingdatabase.com/competitions-view?id=120915
11/18/2023,Strength Culture Cup #3,Local,AUS-2023-28,Australia,https://usapl.liftingdatabase.com/competitions-view?id=120916
11/18/2023,Lokahi Open,Local,HI-2023-06,Hawaii,https://usapl.liftingdatabase.com/competitions-view?id=120923
11/12/2023,New Jersey Iron Gobbler Championship,Local,NJ-2023-08,New Jersey,https://usapl.liftingdatabase.com/competitions-view?id=120890
11/12/2023,Collegiate Invite,Local,MO-2023-10,Missouri,https://usapl.liftingdatabase.com/competitions-view?id=120952
11/11/2023,Maine Event: Harvest Moon Classic,Local,ME-2023-06,Maine,https://usapl.liftingdatabase.com/competitions-view?id=120869
11/11/2023,Ohio Open,Local,OH-2023-12,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=120872
11/11/2023,Fall Festival of Power,Local,NC-2023-05,North Carolina,https://usapl.liftingdatabase.com/competitions-view?id=120873
11/11/2023,Georgia Collegiate Championship,Local,GA-2023-16,Georgia,https://usapl.liftingdatabase.com/competitions-view?id=120874
11/11/2023,Brawl in the Falls,Local,TX-2023-35,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120876
11/11/2023,Strong Island Open,Local,NY-2023-13,New York,https://usapl.liftingdatabase.com/competitions-view?id=120877
11/11/2023,Ivy League Cup,Local,NY-2023-28,New York,https://usapl.liftingdatabase.com/competitions-view?id=120879
11/11/2023,Southeast Open,Local,SC-2023-07,South Carolina,https://usapl.liftingdatabase.com/competitions-view?id=120881
11/11/2023,Piney Woods Open,Local,TX-2023-47,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120883
11/11/2023,Western Collegiate Cup,Local,CA-2023-25,California,https://usapl.liftingdatabase.com/competitions-view?id=120884
11/11/2023,Tennessee State Classic,Local,TN-2023-04,Tennessee,https://usapl.liftingdatabase.com/competitions-view?id=120885
11/11/2023,Thanksgiving Throwdown,Local,CA-2023-35,California,https://usapl.liftingdatabase.com/competitions-view?id=120886
11/11/2023,Philadelphia Far Beyond Driven,Local,PA-2023-04,Pennsylvania,https://usapl.liftingdatabase.com/competitions-view?id=120887
11/11/2023,South Omaha Stock Yard Classic,Local,NE-2023-06,Nebraska,https://usapl.liftingdatabase.com/competitions-view?id=120902
11/11/2023,West Houston Open,Local,TX-2023-50,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120906
11/11/2023,Strong Enough,Local,MI-2023-13,Michigan,https://usapl.liftingdatabase.com/competitions-view?id=120980
11/05/2023,Ghost Fall Fest,Local,FL-2023-18,Florida,https://usapl.liftingdatabase.com/competitions-view?id=120857
11/04/2023,Winter Wrath,Local,OH-2023-18,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=120851
11/04/2023,5th Annual Winter War of Waco,Local,TX-2023-23,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120852
11/04/2023,Gainsgiving Open,Local,WI-2023-06,Wisconsin,https://usapl.liftingdatabase.com/competitions-view?id=120855
11/04/2023,South Georgia Barbell Brawl,Local,GA-2023-13,Georgia,https://usapl.liftingdatabase.com/competitions-view?id=120860
11/04/2023,Kansas Fall Brawl,Local,KS-2023-05,Kansas,https://usapl.liftingdatabase.com/competitions-view?id=120863
11/04/2023,Squats & Science Fall Brawl,Local,NY-2023-30,New York,https://usapl.liftingdatabase.com/competitions-view?id=120865
11/04/2023,Fall Brawl 2023,Local,CO-2023-09,Colorado,https://usapl.liftingdatabase.com/competitions-view?id=120866
11/04/2023,Yokozuna,Local,CA-2023-36,California,https://usapl.liftingdatabase.com/competitions-view?id=120893
11/04/2023,Liftsgiving Open,Local,CT-2023-05,Connecticut,https://usapl.liftingdatabase.com/competitions-view?id=120899
11/04/2023,BBB Unite #2,Local,AUS-2023-29,Australia,https://usapl.liftingdatabase.com/competitions-view?id=120905
11/04/2023,Hometown Money Meet,Local,MD-2023-09,Maryland,https://usapl.liftingdatabase.com/competitions-view?id=120956
10/28/2023,Day of the Deads,Local,GA-2023-08,Georgia,https://usapl.liftingdatabase.com/competitions-view?id=120837
10/28/2023,Western MASSacre,Local,MA-2023-13,Massachusetts,https://usapl.liftingdatabase.com/competitions-view?id=120839
10/28/2023,Korea Spartan Series,Local,KOR-2023-08,South Korea,https://usapl.liftingdatabase.com/competitions-view?id=120840
10/28/2023,AAO Lift Games,Local,CA-2023-30,California,https://usapl.liftingdatabase.com/competitions-view?id=120844
10/28/2023,Philadelphia Fall Showdown,Local,PA-2023-26,Pennsylvania,https://usapl.liftingdatabase.com/competitions-view?id=120845
10/28/2023,Resurgence Autumn Classic,Local,NJ-2023-11,New Jersey,https://usapl.liftingdatabase.com/competitions-view?id=120847
10/28/2023,H-Town Showdown,Local,TX-2023-33,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120848
10/28/2023,Arizona Fall Classic,Local,AZ-2023-03,Arizona,https://usapl.liftingdatabase.com/competitions-view?id=120849
10/28/2023,JPS Spring Showdown,Local,AUS-2023-10,Australia,https://usapl.liftingdatabase.com/competitions-view?id=120854
10/28/2023,North Alabama Open,Local,AL-2023-02,Alabama,https://usapl.liftingdatabase.com/competitions-view?id=120867
10/21/2023,D-Town Showdown,Local,TX 2023-43,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120832
10/21/2023,SBWC Fall Classic,Local,NY-2023-25,New York,https://usapl.liftingdatabase.com/competitions-view?id=120834
10/21/2023,Pittsburgh Collegiate Cup,Local,PA-2023-24,Pennsylvania,https://usapl.liftingdatabase.com/competitions-view?id=120835
10/21/2023,Odyssey Barbell Club Classic,Local,NH-2023-05,New Hampshire,https://usapl.liftingdatabase.com/competitions-view?id=120846
10/15/2023,Rookie Rumble II,Local,FL-2023-11,Florida,https://usapl.liftingdatabase.com/competitions-view?id=120981
10/14/2023,Monster Mass Showdown,Local,CT-2023-08,Connecticut,https://usapl.liftingdatabase.com/competitions-view?id=120898
10/14/2023,Push/Pull for Pink,Local,TX-2023-48,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120965
10/14/2023,Bay Area Barbell's Breaking BAB,Local,CA-2023-34,California,https://usapl.liftingdatabase.com/competitions-view?id=120986
10/14/2023,Beyond Limits Fall Classic,Local,OH-2023-15,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=120817
10/14/2023,KILOS for Cancer,Local,VT-2023-02,Vermont,https://usapl.liftingdatabase.com/competitions-view?id=120818
10/14/2023,Raleighwood Rumble,Local,NC-2023-09,North Carolina,https://usapl.liftingdatabase.com/competitions-view?id=120819
10/14/2023,Stay in Your Lane Thrasher,Local,NY-2023-17,New York,https://usapl.liftingdatabase.com/competitions-view?id=120820
10/14/2023,Anniversary Chaos,Local,VA-2023-10,Virginia,https://usapl.liftingdatabase.com/competitions-view?id=120822
10/14/2023,Chi-Town Showdown,Local,IL-2023-08,Illinois,https://usapl.liftingdatabase.com/competitions-view?id=120824
10/14/2023,Jacked O'Lantern Open,Local,WI-2023-18,Wisconsin,https://usapl.liftingdatabase.com/competitions-view?id=120825
10/14/2023,Hidden Strength Showdown,Local,CA-2023-28,California,https://usapl.liftingdatabase.com/competitions-view?id=120827
10/14/2023,Maryland Death by Iron,Local,MD-2023-07,Maryland,https://usapl.liftingdatabase.com/competitions-view?id=120828
10/14/2023,Iron Pumpkin Brawl,Local,PA-2023-31,Pennsylvania,https://usapl.liftingdatabase.com/competitions-view?id=120830
10/08/2023,Windy City Open,Local,IL-2023-09,Illinois,https://usapl.liftingdatabase.com/competitions-view?id=120816
10/07/2023,Avengers Monsters Smash II,Local,PA-2023-30,Pennsylvania,https://usapl.liftingdatabase.com/competitions-view?id=120800
10/07/2023,Culnan Classic,Local,NY-2023-16,New York,https://usapl.liftingdatabase.com/competitions-view?id=120801
10/07/2023,Night of the Living Deadlift,Local,LA-2023-12,Louisiana,https://usapl.liftingdatabase.com/competitions-view?id=120802
10/07/2023,Oregon Open,Local,OR-2023-02,Oregon,https://usapl.liftingdatabase.com/competitions-view?id=120803
10/07/2023,Boro Battle,Local,GA-2023-15,Georgia,https://usapl.liftingdatabase.com/competitions-view?id=120804
10/07/2023,Battle in the Valley,Local,OH-2023-14,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=120805
10/07/2023,Alamo City Rookie Rumble,Local,TX-2023-40,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120808
10/07/2023,Missouri River Open,Local,MO-2023-05,Missouri,https://usapl.liftingdatabase.com/competitions-view?id=120810
10/07/2023,UAP Showdown,Local,MI-2023-10,Michigan,https://usapl.liftingdatabase.com/competitions-view?id=120823
10/07/2023,West Texas Open 5,Local,TX-2023-44,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120829
10/01/2023,Whippany Athletic Metal War,Local,NJ-2023-06,New Jersey,https://usapl.liftingdatabase.com/competitions-view?id=120814
09/30/2023,2023 Spartan Raw Fall Brawl,Local,WI-2023-19,Wisconsin,https://usapl.liftingdatabase.com/competitions-view?id=120925
09/30/2023,Northwoods Showdown II,Local,WI-2023-14,Wisconsin,https://usapl.liftingdatabase.com/competitions-view?id=120794
09/30/2023,Beer City Brawl,Local,NC-2023-08,North Carolina,https://usapl.liftingdatabase.com/competitions-view?id=120795
09/30/2023,Battle at Bull Run,Local,VA-2023-19,Virginia,https://usapl.liftingdatabase.com/competitions-view?id=120798
09/30/2023,Philly Special,Local,PA-2023-20,Pennsylvania,https://usapl.liftingdatabase.com/competitions-view?id=120799
09/30/2023,2L2Q Classic,Local,AL-2023-03,Alabama,https://usapl.liftingdatabase.com/competitions-view?id=120811
09/30/2023,East coast Open II,Local,FL-2023-21,Florida,https://usapl.liftingdatabase.com/competitions-view?id=120826
09/24/2023,New England Strength Solstice,Local,MA-2023-10,Massachusetts,https://usapl.liftingdatabase.com/competitions-view?id=120784
09/24/2023,Heavy Metal Classic,Local,NJ-2023-07,New Jersey,https://usapl.liftingdatabase.com/competitions-view?id=120789
09/23/2023,Mo-Kan Border War,Local,MO-2023-08,Missouri,https://usapl.liftingdatabase.com/competitions-view?id=120864
09/23/2023,Spokane Rookie Competition,Local,WA-2023-07,Washington,https://usapl.liftingdatabase.com/competitions-view?id=120783
09/23/2023,Iron Wars,Local,TX-2023-26,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120791
09/23/2023,Connecticut Fall Classic,Local,CT-2023-04,Connecticut,https://usapl.liftingdatabase.com/competitions-view?id=120797
09/16/2023,Honam ASSEMBLE!,Local,KOR-2023-06,South Korea,https://usapl.liftingdatabase.com/competitions-view?id=120769
09/16/2023,Orlando Powerfest,Local,FL-2023-16,Florida,https://usapl.liftingdatabase.com/competitions-view?id=120788
09/10/2023,War at the Workshop,Local,NY-2023-27,New York,https://usapl.liftingdatabase.com/competitions-view?id=120771
09/09/2023,OneUp Barbell Bash,Local,NE-2023-07,Nebraska,https://usapl.liftingdatabase.com/competitions-view?id=120761
09/09/2023,Virginia Fall Finale,Local,VA-2023-09,Virginia,https://usapl.liftingdatabase.com/competitions-view?id=120763
09/09/2023,Mckendree University Bearcat Classic,Local,IL-2023-10,Illinois,https://usapl.liftingdatabase.com/competitions-view?id=120764
09/09/2023,LLS Space City Bash,Local,TX-2023-46,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120765
09/09/2023,Lifting the House,Local,GA-2023-10,Georgia,https://usapl.liftingdatabase.com/competitions-view?id=120766
09/09/2023,Staying Alive Championships II,Local,CO-2023-04,Colorado,https://usapl.liftingdatabase.com/competitions-view?id=120767
09/09/2023,Rochester Rumble V,Local,NY-2023-11,New York,https://usapl.liftingdatabase.com/competitions-view?id=120768
09/09/2023,BATTLE ON THE BORDER,Local,NC-2023-01,North Carolina,https://usapl.liftingdatabase.com/competitions-view?id=120782
09/03/2023,Indiana Fall Brawl,Local,IN-2023-05,Indiana,https://usapl.liftingdatabase.com/competitions-view?id=120756
09/03/2023,Ohio Summer Showdown,Local,OH-2023-13,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=120757
